Time, ElapsedTime (s),"%, Acid","%, Base","Acid Flow, mL/s","Base Flow, mL/s","pH","T_Room",,,,
2/17/2025 1:48:55 PM , 1.14299999999639 ,30.00,10.00,2.15,0.64,7.06,22.87,,,,
2/17/2025 1:48:55 PM , 1.49899999999616 ,30.00,10.00,2.15,0.64,7.01,22.82,,,,
2/17/2025 1:48:55 PM , 1.8379999999961 ,30.00,10.00,2.15,0.64,6.92,22.85,,,,
2/17/2025 1:48:56 PM , 2.2039999999979 ,30.00,10.00,2.15,0.64,6.89,22.84,,,,
2/17/2025 1:48:56 PM , 2.56500000000233 ,30.00,10.00,2.15,0.64,6.98,22.82,,,,
2/17/2025 1:48:56 PM , 2.92399999999907 ,30.00,10.00,2.15,0.64,6.94,22.87,,,,
2/17/2025 1:48:57 PM , 3.27799999999843 ,30.00,10.00,2.15,0.64,7.17,22.85,,,,
2/17/2025 1:48:57 PM , 3.61800000000221 ,30.00,10.00,2.15,0.64,7.16,22.84,,,,
2/17/2025 1:48:57 PM , 3.97200000000157 ,30.00,10.00,2.15,0.64,7.29,22.92,,,,
2/17/2025 1:48:58 PM , 4.32600000000093 ,30.00,10.00,2.15,0.64,7.41,22.93,,,,
2/17/2025 1:48:58 PM , 4.66300000000047 ,30.00,10.00,2.15,0.64,7.42,22.89,,,,
2/17/2025 1:48:58 PM , 5.01799999999639 ,30.00,10.00,2.15,0.64,7.29,22.89,,,,
2/17/2025 1:48:59 PM , 5.3859999999986 ,30.00,10.00,2.15,0.64,7.26,22.91,,,,
2/17/2025 1:48:59 PM , 5.75299999999697 ,30.00,10.00,2.15,0.64,7.22,22.91,,,,
2/17/2025 1:49:00 PM , 6.10800000000017 ,30.00,10.00,2.15,0.64,7.27,22.93,,,,
2/17/2025 1:49:00 PM , 6.45100000000093 ,30.00,10.00,2.15,0.64,7.16,22.89,,,,
2/17/2025 1:49:00 PM , 6.79099999999744 ,30.00,10.00,2.15,0.64,7.19,22.93,,,,
2/17/2025 1:49:01 PM , 7.13999999999942 ,30.00,10.00,2.15,0.64,7.16,22.93,,,,
2/17/2025 1:49:01 PM , 7.49599999999919 ,30.00,10.00,2.15,0.64,7.17,22.89,,,,
2/17/2025 1:49:01 PM , 7.8379999999961 ,30.00,10.00,2.15,0.64,7.03,22.93,,,,
2/17/2025 1:49:02 PM , 8.2039999999979 ,30.00,10.00,2.15,0.64,7.02,22.93,,,,
2/17/2025 1:49:02 PM , 8.54699999999866 ,30.00,10.00,2.15,0.64,7.05,22.88,,,,
2/17/2025 1:49:02 PM , 8.89199999999983 ,30.00,10.00,2.15,0.64,7.06,22.94,,,,
2/17/2025 1:49:03 PM , 9.22999999999593 ,30.00,10.00,2.15,0.64,7.03,22.90,,,,
2/17/2025 1:49:03 PM , 9.56900000000314 ,30.00,10.00,2.15,0.64,6.90,22.92,,,,
2/17/2025 1:49:03 PM , 9.9230000000025 ,30.00,10.00,2.15,0.64,7.06,22.94,,,,
2/17/2025 1:49:04 PM , 10.2779999999984 ,30.00,10.00,2.15,0.64,7.24,22.90,,,,
2/17/2025 1:49:04 PM , 10.6169999999984 ,30.00,10.00,2.15,0.64,7.20,22.90,,,,
2/17/2025 1:49:04 PM , 10.987000000001 ,30.00,10.00,2.15,0.64,7.25,22.94,,,,
2/17/2025 1:49:05 PM , 11.3249999999971 ,30.00,10.00,2.15,0.64,7.38,22.94,,,,
2/17/2025 1:49:05 PM , 11.6779999999999 ,30.00,10.00,2.15,0.64,7.38,22.91,,,,
2/17/2025 1:49:05 PM , 12.0310000000027 ,30.00,10.00,2.15,0.64,7.27,22.90,,,,
2/17/2025 1:49:06 PM , 12.385000000002 ,30.00,10.00,2.15,0.64,7.19,22.92,,,,
2/17/2025 1:49:06 PM , 12.7350000000006 ,30.00,10.00,2.15,0.64,7.15,22.92,,,,
2/17/2025 1:49:07 PM , 13.0889999999999 ,30.00,10.00,2.15,0.64,7.18,22.94,,,,
2/17/2025 1:49:07 PM , 13.4550000000017 ,30.00,10.00,2.15,0.64,7.15,22.94,,,,
2/17/2025 1:49:07 PM , 13.7940000000017 ,30.00,10.00,2.15,0.64,7.17,22.91,,,,
2/17/2025 1:49:08 PM , 14.1569999999992 ,30.00,10.00,2.15,0.64,7.16,22.94,,,,
2/17/2025 1:49:08 PM , 14.5149999999994 ,30.00,10.00,2.15,0.64,7.01,22.90,,,,
2/17/2025 1:49:08 PM , 14.851999999999 ,30.00,10.00,2.15,0.64,6.98,22.92,,,,
2/17/2025 1:49:09 PM , 15.2220000000016 ,30.00,10.00,2.15,0.64,7.00,22.94,,,,
2/17/2025 1:49:09 PM , 15.5729999999967 ,30.00,10.00,2.15,0.64,7.01,22.94,,,,
2/17/2025 1:49:09 PM , 15.9250000000029 ,30.00,10.00,2.15,0.64,7.03,22.92,,,,
2/17/2025 1:49:10 PM , 16.262999999999 ,30.00,10.00,2.15,0.64,6.96,22.90,,,,
2/17/2025 1:49:10 PM , 16.6069999999963 ,30.00,10.00,2.15,0.64,7.13,22.94,,,,
2/17/2025 1:49:10 PM , 16.961000000003 ,30.00,10.00,2.15,0.64,7.22,22.90,,,,
2/17/2025 1:49:11 PM , 17.3130000000019 ,30.00,10.00,2.15,0.64,7.26,22.89,,,,
2/17/2025 1:49:11 PM , 17.6750000000029 ,30.00,10.00,2.15,0.64,7.41,22.92,,,,
2/17/2025 1:49:11 PM , 18.0279999999984 ,30.00,10.00,2.15,0.64,7.41,22.90,,,,
2/17/2025 1:49:12 PM , 18.3669999999984 ,30.00,10.00,2.15,0.64,7.28,22.92,,,,
2/17/2025 1:49:12 PM , 18.737000000001 ,30.00,10.00,2.15,0.64,7.29,22.93,,,,
2/17/2025 1:49:13 PM , 19.0749999999971 ,30.00,10.00,2.15,0.64,7.35,22.92,,,,
2/17/2025 1:49:13 PM , 19.4159999999974 ,30.00,10.00,2.15,0.64,7.18,22.92,,,,
2/17/2025 1:49:13 PM , 19.7669999999998 ,30.00,10.00,2.15,0.64,7.13,22.91,,,,
2/17/2025 1:49:14 PM , 20.1209999999992 ,30.00,10.00,2.15,0.64,7.15,22.94,,,,
2/17/2025 1:49:14 PM , 20.4639999999999 ,30.00,10.00,2.15,0.64,7.09,22.90,,,,
2/17/2025 1:49:14 PM , 20.8139999999985 ,30.00,10.00,2.15,0.64,7.05,22.89,,,,
2/17/2025 1:49:15 PM , 21.1569999999992 ,30.00,10.00,2.15,0.64,7.14,22.93,,,,
2/17/2025 1:49:15 PM , 21.512999999999 ,30.00,10.00,2.15,0.64,7.02,22.90,,,,
2/17/2025 1:49:15 PM , 21.8669999999984 ,30.00,10.00,2.15,0.64,6.95,22.92,,,,
2/17/2025 1:49:16 PM , 22.2229999999981 ,30.00,10.00,2.15,0.64,7.03,22.94,,,,
2/17/2025 1:49:16 PM , 22.5760000000009 ,30.00,10.00,2.15,0.64,7.03,22.91,,,,
2/17/2025 1:49:16 PM , 22.9150000000009 ,30.00,10.00,2.15,0.64,6.90,22.90,,,,
2/17/2025 1:49:17 PM , 23.265999999996 ,30.00,10.00,2.15,0.64,6.98,22.90,,,,
2/17/2025 1:49:17 PM , 23.6030000000028 ,30.00,10.00,2.15,0.64,7.21,22.94,,,,
2/17/2025 1:49:17 PM , 23.9700000000012 ,30.00,10.00,2.15,0.64,7.35,22.95,,,,
2/17/2025 1:49:18 PM , 24.3249999999971 ,30.00,10.00,2.15,0.64,7.47,22.92,,,,
2/17/2025 1:49:18 PM , 24.6630000000005 ,30.00,10.00,2.15,0.64,7.39,22.90,,,,
2/17/2025 1:49:18 PM , 25.0009999999966 ,30.00,10.00,2.15,0.64,7.35,22.93,,,,
2/17/2025 1:49:19 PM , 25.3549999999959 ,30.00,10.00,2.15,0.64,7.41,22.94,,,,
2/17/2025 1:49:19 PM , 25.7099999999991 ,30.00,10.00,2.15,0.64,7.38,22.91,,,,
2/17/2025 1:49:20 PM , 26.0639999999985 ,30.00,10.00,2.15,0.64,7.23,22.90,,,,
2/17/2025 1:49:20 PM , 26.4219999999987 ,30.00,10.00,2.15,0.64,7.29,22.94,,,,
2/17/2025 1:49:20 PM , 26.775999999998 ,30.00,10.00,2.15,0.64,7.26,22.92,,,,
2/17/2025 1:49:21 PM , 27.1290000000008 ,30.00,10.00,2.15,0.64,7.15,22.89,,,,
2/17/2025 1:49:21 PM , 27.4859999999971 ,30.00,10.00,2.15,0.64,7.09,22.93,,,,
2/17/2025 1:49:21 PM , 27.8240000000005 ,30.00,10.00,2.15,0.64,7.17,22.93,,,,
2/17/2025 1:49:22 PM , 28.1900000000023 ,30.00,10.00,2.15,0.64,7.14,22.93,,,,
2/17/2025 1:49:22 PM , 28.5489999999991 ,30.00,10.00,2.15,0.64,6.99,22.90,,,,
2/17/2025 1:49:22 PM , 28.9080000000031 ,30.00,10.00,2.15,0.64,7.09,22.91,,,,
2/17/2025 1:49:23 PM , 29.2609999999986 ,30.00,10.00,2.15,0.64,7.04,22.89,,,,
2/17/2025 1:49:23 PM , 29.612000000001 ,30.00,10.00,2.15,0.64,6.99,22.88,,,,
2/17/2025 1:49:23 PM , 29.9619999999995 ,30.00,10.00,2.15,0.64,7.01,22.88,,,,
2/17/2025 1:49:24 PM , 30.3309999999983 ,30.00,10.00,2.15,0.64,7.08,22.88,,,,
2/17/2025 1:49:24 PM , 30.6630000000005 ,30.00,10.00,2.15,0.64,7.19,22.88,,,,
2/17/2025 1:49:24 PM , 31.0169999999998 ,30.00,10.00,2.15,0.64,7.20,22.90,,,,
2/17/2025 1:49:25 PM , 31.3539999999994 ,30.00,10.00,2.15,0.64,7.28,22.92,,,,
2/17/2025 1:49:25 PM , 31.7209999999977 ,30.00,10.00,2.15,0.64,7.28,22.93,,,,
2/17/2025 1:49:26 PM , 32.0590000000011 ,30.00,10.00,2.15,0.64,7.32,22.90,,,,
2/17/2025 1:49:26 PM , 32.4159999999974 ,30.00,10.00,2.15,0.64,7.15,22.90,,,,
2/17/2025 1:49:26 PM , 32.765999999996 ,30.00,10.00,2.15,0.64,7.10,22.90,,,,
2/17/2025 1:49:27 PM , 33.1030000000028 ,30.00,10.00,2.15,0.64,7.13,22.91,,,,
2/17/2025 1:49:27 PM , 33.4479999999967 ,30.00,10.00,2.15,0.64,7.05,22.89,,,,
2/17/2025 1:49:27 PM , 33.8130000000019 ,30.00,10.00,2.15,0.64,7.08,22.87,,,,
2/17/2025 1:49:28 PM , 34.1759999999995 ,30.00,10.00,2.15,0.64,7.12,22.89,,,,
2/17/2025 1:49:28 PM , 34.5330000000031 ,30.00,10.00,2.15,0.64,6.98,22.91,,,,
2/17/2025 1:49:28 PM , 34.8870000000024 ,30.00,10.00,2.15,0.64,6.98,22.92,,,,
2/17/2025 1:49:29 PM , 35.2410000000018 ,30.00,10.00,2.15,0.64,7.05,22.90,,,,
2/17/2025 1:49:29 PM , 35.5950000000012 ,30.00,10.00,2.15,0.64,6.99,22.89,,,,
2/17/2025 1:49:29 PM , 35.9449999999997 ,30.00,10.00,2.15,0.64,6.97,22.88,,,,
2/17/2025 1:49:30 PM , 36.3000000000029 ,30.00,10.00,2.15,0.64,6.85,22.90,,,,
2/17/2025 1:49:30 PM , 36.6520000000019 ,30.00,10.00,2.15,0.64,7.09,22.92,,,,
2/17/2025 1:49:30 PM , 37.0169999999998 ,30.00,10.00,2.15,0.64,7.29,22.91,,,,
2/17/2025 1:49:31 PM , 37.3709999999992 ,30.00,10.00,2.15,0.64,7.47,22.92,,,,
2/17/2025 1:49:31 PM , 37.7249999999985 ,30.00,10.00,2.15,0.64,7.55,22.90,,,,
2/17/2025 1:49:32 PM , 38.0800000000017 ,30.00,10.00,2.15,0.64,7.45,22.88,,,,
2/17/2025 1:49:32 PM , 38.4360000000015 ,30.00,10.00,2.15,0.64,7.40,22.92,,,,
2/17/2025 1:49:32 PM , 38.773000000001 ,30.00,10.00,2.15,0.64,7.45,22.92,,,,
2/17/2025 1:49:33 PM , 39.1259999999966 ,30.00,10.00,2.15,0.64,7.43,22.89,,,,
2/17/2025 1:49:33 PM , 39.4789999999994 ,30.00,10.00,2.15,0.64,7.32,22.88,,,,
2/17/2025 1:49:33 PM , 39.8309999999983 ,30.00,10.00,2.15,0.64,7.23,22.88,,,,
2/17/2025 1:49:34 PM , 40.1900000000023 ,30.00,10.00,2.15,0.64,7.29,22.91,,,,
2/17/2025 1:49:34 PM , 40.5339999999997 ,30.00,10.00,2.15,0.64,7.13,22.91,,,,
2/17/2025 1:49:34 PM , 40.890999999996 ,30.00,10.00,2.15,0.64,7.22,22.89,,,,
2/17/2025 1:49:35 PM , 41.2450000000026 ,30.00,10.00,2.15,0.64,7.11,22.87,,,,
2/17/2025 1:49:35 PM , 41.5889999999999 ,30.00,10.00,2.15,0.64,7.14,22.91,,,,
2/17/2025 1:49:35 PM , 41.9559999999983 ,30.00,10.00,2.15,0.64,7.13,22.92,,,,
2/17/2025 1:49:36 PM , 42.2960000000021 ,30.00,10.00,2.15,0.64,7.04,22.88,,,,
2/17/2025 1:49:36 PM , 42.6569999999992 ,30.00,10.00,2.15,0.64,7.07,22.91,,,,
2/17/2025 1:49:36 PM , 43.0120000000024 ,30.00,10.00,2.15,0.64,6.99,22.87,,,,
2/17/2025 1:49:37 PM , 43.362000000001 ,30.00,10.00,2.15,0.64,7.03,22.86,,,,
2/17/2025 1:49:37 PM , 43.7119999999995 ,30.00,10.00,2.15,0.64,7.11,22.87,,,,
2/17/2025 1:49:38 PM , 44.0630000000019 ,30.00,10.00,2.15,0.64,7.16,22.87,,,,
2/17/2025 1:49:38 PM , 44.4199999999983 ,30.00,10.00,2.15,0.64,7.26,22.92,,,,
2/17/2025 1:49:38 PM , 44.7589999999982 ,30.00,10.00,2.15,0.64,7.30,22.88,,,,
