Time, ElapsedTime (s),"%, Acid","%, Base","Acid Flow, mL/s","Base Flow, mL/s","pH","T_Room",,,,
2/24/2025 2:00:51 PM , 1.25200000000041 ,60.00,0.00,4.31,0.00,10.97,22.93,,,,
2/24/2025 2:00:52 PM , 1.60399999999936 ,60.00,0.00,4.31,0.00,10.95,22.93,,,,
2/24/2025 2:00:52 PM , 1.95700000000215 ,60.00,0.00,4.31,0.00,10.90,22.92,,,,
2/24/2025 2:00:53 PM , 2.31700000000274 ,60.00,0.00,4.31,0.00,10.95,22.96,,,,
2/24/2025 2:00:53 PM , 2.6710000000021 ,60.00,0.00,4.31,0.00,10.94,22.93,,,,
2/24/2025 2:00:53 PM , 3.02700000000186 ,60.00,0.00,4.31,0.00,10.86,22.96,,,,
2/24/2025 2:00:54 PM , 3.3949999999968 ,60.00,0.00,4.31,0.00,10.85,22.96,,,,
2/24/2025 2:00:54 PM , 3.75 ,60.00,0.00,4.31,0.00,10.94,22.99,,,,
2/24/2025 2:00:54 PM , 4.11299999999756 ,60.00,0.00,4.31,0.00,10.86,23.00,,,,
2/24/2025 2:00:55 PM , 4.46699999999692 ,60.00,0.00,4.31,0.00,10.94,23.00,,,,
2/24/2025 2:00:55 PM , 4.83299999999872 ,60.00,0.00,4.31,0.00,10.94,23.00,,,,
2/24/2025 2:00:55 PM , 5.19200000000274 ,60.00,0.00,4.31,0.00,10.87,22.95,,,,
2/24/2025 2:00:56 PM , 5.55099999999948 ,60.00,0.00,4.31,0.00,10.94,22.98,,,,
2/24/2025 2:00:56 PM , 5.90400000000227 ,60.00,0.00,4.31,0.00,10.94,22.95,,,,
2/24/2025 2:00:56 PM , 6.25499999999738 ,60.00,0.00,4.31,0.00,10.94,22.93,,,,
2/24/2025 2:00:57 PM , 6.60399999999936 ,60.00,0.00,4.31,0.00,10.94,22.95,,,,
2/24/2025 2:00:57 PM , 6.95700000000215 ,60.00,0.00,4.31,0.00,10.91,22.93,,,,
2/24/2025 2:00:58 PM , 7.31599999999889 ,60.00,0.00,4.31,0.00,10.91,22.99,,,,
2/24/2025 2:00:58 PM , 7.66900000000169 ,60.00,0.00,4.31,0.00,10.93,22.97,,,,
2/24/2025 2:00:58 PM , 8.0089999999982 ,60.00,0.00,4.31,0.00,10.85,22.93,,,,
2/24/2025 2:00:59 PM , 8.36200000000099 ,60.00,0.00,4.31,0.00,10.84,22.94,,,,
2/24/2025 2:00:59 PM , 8.71699999999692 ,60.00,0.00,4.31,0.00,10.91,22.98,,,,
2/24/2025 2:00:59 PM , 9.07200000000012 ,60.00,0.00,4.31,0.00,10.92,22.95,,,,
2/24/2025 2:01:00 PM , 9.42599999999948 ,60.00,0.00,4.31,0.00,10.85,22.93,,,,
2/24/2025 2:01:00 PM , 9.77999999999884 ,60.00,0.00,4.31,0.00,10.83,22.96,,,,
2/24/2025 2:01:00 PM , 10.1339999999982 ,60.00,0.00,4.31,0.00,10.89,22.97,,,,
2/24/2025 2:01:01 PM , 10.487000000001 ,60.00,0.00,4.31,0.00,10.92,22.95,,,,
2/24/2025 2:01:01 PM , 10.8389999999999 ,60.00,0.00,4.31,0.00,10.91,22.94,,,,
2/24/2025 2:01:01 PM , 11.1800000000003 ,60.00,0.00,4.31,0.00,10.82,22.98,,,,
2/24/2025 2:01:02 PM , 11.5330000000031 ,60.00,0.00,4.31,0.00,10.86,23.00,,,,
2/24/2025 2:01:02 PM , 11.8870000000024 ,60.00,0.00,4.31,0.00,10.91,22.97,,,,
2/24/2025 2:01:02 PM , 12.2359999999971 ,60.00,0.00,4.31,0.00,10.91,23.00,,,,
2/24/2025 2:01:03 PM , 12.5880000000034 ,60.00,0.00,4.31,0.00,10.92,22.97,,,,
2/24/2025 2:01:03 PM , 12.9409999999989 ,60.00,0.00,4.31,0.00,10.88,22.95,,,,
2/24/2025 2:01:03 PM , 13.3000000000029 ,60.00,0.00,4.31,0.00,10.89,23.00,,,,
2/24/2025 2:01:04 PM , 13.6529999999984 ,60.00,0.00,4.31,0.00,10.84,22.95,,,,
2/24/2025 2:01:04 PM , 14.0829999999987 ,60.00,0.00,4.31,0.00,10.84,22.99,,,,
2/24/2025 2:01:05 PM , 14.4360000000015 ,60.00,0.00,4.31,0.00,10.88,23.00,,,,
2/24/2025 2:01:05 PM , 14.8000000000029 ,60.00,0.00,4.31,0.00,10.83,23.01,,,,
2/24/2025 2:01:05 PM , 15.1560000000027 ,60.00,0.00,4.31,0.00,10.90,22.97,,,,
2/24/2025 2:01:06 PM , 15.4950000000026 ,60.00,0.00,4.31,0.00,10.81,22.97,,,,
2/24/2025 2:01:06 PM , 15.8640000000014 ,60.00,0.00,4.31,0.00,10.79,22.98,,,,
2/24/2025 2:01:06 PM , 16.2180000000008 ,60.00,0.00,4.31,0.00,10.84,23.01,,,,
2/24/2025 2:01:07 PM , 16.5840000000026 ,60.00,0.00,4.31,0.00,10.83,23.01,,,,
2/24/2025 2:01:07 PM , 16.9380000000019 ,60.00,0.00,4.31,0.00,10.88,23.00,,,,
2/24/2025 2:01:08 PM , 17.3009999999995 ,60.00,0.00,4.31,0.00,10.79,22.95,,,,
2/24/2025 2:01:08 PM , 17.7079999999987 ,60.00,0.00,4.31,0.00,10.89,22.94,,,,
2/24/2025 2:01:08 PM , 18.0650000000023 ,60.00,0.00,4.31,0.00,10.79,22.95,,,,
2/24/2025 2:01:09 PM , 18.4179999999978 ,60.00,0.00,4.31,0.00,10.81,22.96,,,,
2/24/2025 2:01:09 PM , 18.7850000000035 ,60.00,0.00,4.31,0.00,10.81,22.96,,,,
2/24/2025 2:01:09 PM , 19.1449999999968 ,60.00,0.00,4.31,0.00,10.83,22.90,,,,
2/24/2025 2:01:10 PM , 19.4990000000034 ,60.00,0.00,4.31,0.00,10.78,22.95,,,,
2/24/2025 2:01:10 PM , 19.8539999999994 ,60.00,0.00,4.31,0.00,10.85,22.97,,,,
2/24/2025 2:01:10 PM , 20.2079999999987 ,60.00,0.00,4.31,0.00,10.88,22.94,,,,
2/24/2025 2:01:11 PM , 20.5670000000027 ,60.00,0.00,4.31,0.00,10.78,22.98,,,,
2/24/2025 2:01:11 PM , 20.9219999999987 ,60.00,0.00,4.31,0.00,10.86,22.96,,,,
2/24/2025 2:01:11 PM , 21.2839999999997 ,60.00,0.00,4.31,0.00,10.77,22.97,,,,
2/24/2025 2:01:12 PM , 21.6370000000024 ,60.00,0.00,4.31,0.00,10.83,22.97,,,,
2/24/2025 2:01:12 PM , 21.9890000000014 ,60.00,0.00,4.31,0.00,10.86,22.97,,,,
2/24/2025 2:01:13 PM , 22.3380000000034 ,60.00,0.00,4.31,0.00,10.84,23.00,,,,
2/24/2025 2:01:13 PM , 22.6909999999989 ,60.00,0.00,4.31,0.00,10.87,22.95,,,,
2/24/2025 2:01:13 PM , 23.0480000000025 ,60.00,0.00,4.31,0.00,10.76,22.95,,,,
2/24/2025 2:01:14 PM , 23.400999999998 ,60.00,0.00,4.31,0.00,10.82,22.98,,,,
2/24/2025 2:01:14 PM , 23.7540000000008 ,60.00,0.00,4.31,0.00,10.82,23.00,,,,
2/24/2025 2:01:14 PM , 24.1059999999998 ,60.00,0.00,4.31,0.00,10.86,23.00,,,,
2/24/2025 2:01:15 PM , 24.4570000000022 ,60.00,0.00,4.31,0.00,10.86,23.00,,,,
2/24/2025 2:01:15 PM , 24.8170000000027 ,60.00,0.00,4.31,0.00,10.76,23.02,,,,
2/24/2025 2:01:15 PM , 25.1889999999985 ,60.00,0.00,4.31,0.00,10.85,23.02,,,,
2/24/2025 2:01:16 PM , 25.5500000000029 ,60.00,0.00,4.31,0.00,10.75,23.03,,,,
2/24/2025 2:01:16 PM , 25.9060000000027 ,60.00,0.00,4.31,0.00,10.85,23.02,,,,
2/24/2025 2:01:16 PM , 26.2589999999982 ,60.00,0.00,4.31,0.00,10.84,22.99,,,,
2/24/2025 2:01:17 PM , 26.612000000001 ,60.00,0.00,4.31,0.00,10.78,22.97,,,,
2/24/2025 2:01:17 PM , 26.9669999999969 ,60.00,0.00,4.31,0.00,10.75,23.02,,,,
2/24/2025 2:01:18 PM , 27.3240000000005 ,60.00,0.00,4.31,0.00,10.85,22.99,,,,
2/24/2025 2:01:18 PM , 27.6900000000023 ,60.00,0.00,4.31,0.00,10.85,23.02,,,,
2/24/2025 2:01:18 PM , 28.0469999999987 ,60.00,0.00,4.31,0.00,10.75,22.99,,,,
2/24/2025 2:01:19 PM , 28.4000000000015 ,60.00,0.00,4.31,0.00,10.73,23.02,,,,
2/24/2025 2:01:19 PM , 28.752999999997 ,60.00,0.00,4.31,0.00,10.78,23.04,,,,
2/24/2025 2:01:19 PM , 29.1069999999963 ,60.00,0.00,4.31,0.00,10.83,23.01,,,,
2/24/2025 2:01:20 PM , 29.4590000000026 ,60.00,0.00,4.31,0.00,10.83,23.00,,,,
2/24/2025 2:01:20 PM , 29.8159999999989 ,60.00,0.00,4.31,0.00,10.72,23.01,,,,
2/24/2025 2:01:20 PM , 30.1699999999983 ,60.00,0.00,4.31,0.00,10.78,23.03,,,,
