Time, ElapsedTime (s),"%, Acid","%, Base","Acid Flow, mL/s","Base Flow, mL/s","pH","T_Room",,,,
2/24/2025 2:29:20 PM , 14.0930000000008 ,60.00,100.00,4.31,6.45,2.68,22.96,,,,
2/24/2025 2:29:21 PM , 14.4449999999997 ,60.00,100.00,4.31,6.45,2.67,22.97,,,,
2/24/2025 2:29:21 PM , 14.7930000000051 ,60.00,100.00,4.31,6.45,2.69,22.96,,,,
2/24/2025 2:29:21 PM , 15.1640000000043 ,60.00,100.00,4.31,6.45,2.66,23.01,,,,
2/24/2025 2:29:22 PM , 15.5250000000015 ,60.00,100.00,4.31,6.45,2.72,22.97,,,,
2/24/2025 2:29:22 PM , 15.8780000000042 ,60.00,100.00,4.31,6.45,2.68,22.98,,,,
2/24/2025 2:29:22 PM , 16.2320000000036 ,60.00,100.00,4.31,6.45,2.69,23.01,,,,
2/24/2025 2:29:23 PM , 16.6020000000062 ,60.00,100.00,4.31,6.45,2.74,23.03,,,,
2/24/2025 2:29:23 PM , 16.9550000000017 ,60.00,100.00,4.31,6.45,2.77,23.01,,,,
2/24/2025 2:29:24 PM , 17.3110000000015 ,60.00,100.00,4.31,6.45,2.68,22.99,,,,
2/24/2025 2:29:24 PM , 17.6800000000003 ,60.00,100.00,4.31,6.45,2.68,23.00,,,,
2/24/2025 2:29:24 PM , 18.0380000000005 ,60.00,100.00,4.31,6.45,2.79,23.02,,,,
2/24/2025 2:29:25 PM , 18.3919999999998 ,60.00,100.00,4.31,6.45,2.75,22.98,,,,
2/24/2025 2:29:25 PM , 18.7400000000052 ,60.00,100.00,4.31,6.45,2.79,22.98,,,,
2/24/2025 2:29:25 PM , 19.0940000000046 ,60.00,100.00,4.31,6.45,2.73,22.99,,,,
2/24/2025 2:29:26 PM , 19.4600000000064 ,60.00,100.00,4.31,6.45,2.75,22.99,,,,
2/24/2025 2:29:26 PM , 19.8100000000049 ,60.00,100.00,4.31,6.45,2.77,22.98,,,,
2/24/2025 2:29:26 PM , 20.1630000000005 ,60.00,100.00,4.31,6.45,2.73,23.00,,,,
2/24/2025 2:29:27 PM , 20.5110000000059 ,60.00,100.00,4.31,6.45,2.76,22.98,,,,
2/24/2025 2:29:27 PM , 20.8650000000052 ,60.00,100.00,4.31,6.45,2.77,23.03,,,,
2/24/2025 2:29:27 PM , 21.2200000000012 ,60.00,100.00,4.31,6.45,2.83,23.05,,,,
2/24/2025 2:29:28 PM , 21.5699999999997 ,60.00,100.00,4.31,6.45,2.84,23.05,,,,
2/24/2025 2:29:28 PM , 21.9230000000025 ,60.00,100.00,4.31,6.45,2.86,23.03,,,,
2/24/2025 2:29:29 PM , 22.273000000001 ,60.00,100.00,4.31,6.45,2.86,23.03,,,,
2/24/2025 2:29:29 PM , 22.6270000000004 ,60.00,100.00,4.31,6.45,2.82,23.01,,,,
2/24/2025 2:29:29 PM , 22.9800000000032 ,60.00,100.00,4.31,6.45,2.79,23.00,,,,
2/24/2025 2:29:30 PM , 23.3340000000026 ,60.00,100.00,4.31,6.45,2.81,23.04,,,,
2/24/2025 2:29:30 PM , 23.6890000000058 ,60.00,100.00,4.31,6.45,2.90,23.03,,,,
2/24/2025 2:29:30 PM , 24.0390000000043 ,60.00,100.00,4.31,6.45,2.90,23.04,,,,
2/24/2025 2:29:31 PM , 24.3930000000037 ,60.00,100.00,4.31,6.45,2.88,23.00,,,,
2/24/2025 2:29:31 PM , 24.7560000000012 ,60.00,100.00,4.31,6.45,2.91,23.03,,,,
2/24/2025 2:29:31 PM , 25.109000000004 ,60.00,100.00,4.31,6.45,2.91,23.01,,,,
2/24/2025 2:29:32 PM , 25.4760000000024 ,60.00,100.00,4.31,6.45,2.91,23.02,,,,
2/24/2025 2:29:32 PM , 25.8260000000009 ,60.00,100.00,4.31,6.45,2.91,23.03,,,,
2/24/2025 2:29:32 PM , 26.1670000000013 ,60.00,100.00,4.31,6.45,2.85,23.07,,,,
2/24/2025 2:29:33 PM , 26.5360000000001 ,60.00,100.00,4.31,6.45,2.90,23.08,,,,
2/24/2025 2:29:33 PM , 26.8910000000033 ,60.00,100.00,4.31,6.45,2.97,23.05,,,,
2/24/2025 2:29:34 PM , 27.2560000000012 ,60.00,100.00,4.31,6.45,2.97,23.08,,,,
2/24/2025 2:29:34 PM , 27.609000000004 ,60.00,100.00,4.31,6.45,2.99,23.04,,,,
2/24/2025 2:29:34 PM , 27.9750000000058 ,60.00,100.00,4.31,6.45,3.00,23.04,,,,
2/24/2025 2:29:35 PM , 28.333000000006 ,60.00,100.00,4.31,6.45,2.89,23.05,,,,
2/24/2025 2:29:35 PM , 28.6860000000015 ,60.00,100.00,4.31,6.45,2.93,23.06,,,,
2/24/2025 2:29:35 PM , 29.0390000000043 ,60.00,100.00,4.31,6.45,3.01,23.08,,,,
2/24/2025 2:29:36 PM , 29.3930000000037 ,60.00,100.00,4.31,6.45,3.04,23.03,,,,
2/24/2025 2:29:36 PM , 29.7390000000014 ,60.00,100.00,4.31,6.45,3.02,23.08,,,,
2/24/2025 2:29:36 PM , 30.0920000000042 ,60.00,100.00,4.31,6.45,3.06,23.04,,,,
2/24/2025 2:29:37 PM , 30.461000000003 ,60.00,100.00,4.31,6.45,3.04,23.03,,,,
2/24/2025 2:29:37 PM , 30.8100000000049 ,60.00,100.00,4.31,6.45,3.06,23.04,,,,
2/24/2025 2:29:37 PM , 31.1790000000037 ,60.00,100.00,4.31,6.45,2.99,23.03,,,,
2/24/2025 2:29:38 PM , 31.5390000000043 ,60.00,100.00,4.31,6.45,3.07,23.07,,,,
2/24/2025 2:29:38 PM , 31.8940000000002 ,60.00,100.00,4.31,6.45,3.12,23.04,,,,
