Time, ElapsedTime (s),"%, Acid","%, Base","Acid Flow, mL/s","Base Flow, mL/s","pH","T_Room",,,,
2/24/2025 1:03:53 PM , 0.88300000000163 ,60.00,0.00,4.31,0.00,7.16,22.57,,,,
2/24/2025 1:03:53 PM , 1.23300000000017 ,60.00,0.00,4.31,0.00,7.13,22.56,,,,
2/24/2025 1:03:54 PM , 1.58600000000297 ,60.00,0.00,4.31,0.00,7.03,22.55,,,,
2/24/2025 1:03:54 PM , 1.92399999999907 ,60.00,0.00,4.31,0.00,6.83,22.51,,,,
2/24/2025 1:03:54 PM , 2.27799999999843 ,60.00,0.00,4.31,0.00,6.60,22.52,,,,
2/24/2025 1:03:55 PM , 2.6160000000018 ,60.00,0.00,4.31,0.00,6.53,22.55,,,,
2/24/2025 1:03:55 PM , 2.95500000000175 ,60.00,0.00,4.31,0.00,6.50,22.52,,,,
2/24/2025 1:03:55 PM , 3.30999999999767 ,60.00,0.00,4.31,0.00,6.21,22.51,,,,
2/24/2025 1:03:56 PM , 3.64699999999721 ,60.00,0.00,4.31,0.00,6.04,22.53,,,,
2/24/2025 1:03:56 PM , 3.99700000000303 ,60.00,0.00,4.31,0.00,5.80,22.54,,,,
2/24/2025 1:03:56 PM , 4.33499999999913 ,60.00,0.00,4.31,0.00,5.74,22.55,,,,
2/24/2025 1:03:57 PM , 4.67399999999907 ,60.00,0.00,4.31,0.00,5.49,22.50,,,,
2/24/2025 1:03:57 PM , 5.02700000000186 ,60.00,0.00,4.31,0.00,5.19,22.51,,,,
2/24/2025 1:03:57 PM , 5.37999999999738 ,60.00,0.00,4.31,0.00,5.01,22.54,,,,
2/24/2025 1:03:58 PM , 5.72099999999773 ,60.00,0.00,4.31,0.00,4.92,22.53,,,,
2/24/2025 1:03:58 PM , 6.07400000000052 ,60.00,0.00,4.31,0.00,4.77,22.51,,,,
2/24/2025 1:03:58 PM , 6.41199999999662 ,60.00,0.00,4.31,0.00,4.52,22.52,,,,
