Time, ElapsedTime (s),"%, Acid","%, Base","Acid Flow, mL/s","Base Flow, mL/s","pH","T_Room",,,,
3/3/2025 1:21:04 PM , 1.08299999999872 ,0.00,20.00,0.00,1.29,2.47,22.19,,,,
3/3/2025 1:21:05 PM , 1.42199999999866 ,0.00,20.00,0.00,1.29,2.51,22.19,,,,
3/3/2025 1:21:05 PM , 1.76000000000204 ,0.00,20.00,0.00,1.29,2.51,22.15,,,,
3/3/2025 1:21:05 PM , 2.10800000000017 ,0.00,20.00,0.00,1.29,2.53,22.16,,,,
3/3/2025 1:21:06 PM , 2.45999999999913 ,0.00,20.00,0.00,1.29,2.52,22.16,,,,
3/3/2025 1:21:06 PM , 2.81999999999971 ,0.00,20.00,0.00,1.29,2.49,22.21,,,,
3/3/2025 1:21:06 PM , 3.16799999999785 ,0.00,20.00,0.00,1.29,2.47,22.19,,,,
3/3/2025 1:21:07 PM , 3.52199999999721 ,0.00,20.00,0.00,1.29,2.51,22.20,,,,
3/3/2025 1:21:07 PM , 3.87299999999959 ,0.00,20.00,0.00,1.29,2.52,22.20,,,,
3/3/2025 1:21:07 PM , 4.22400000000198 ,0.00,20.00,0.00,1.29,2.53,22.19,,,,
3/3/2025 1:21:08 PM , 4.57299999999668 ,0.00,20.00,0.00,1.29,2.52,22.20,,,,
3/3/2025 1:21:08 PM , 4.92599999999948 ,0.00,20.00,0.00,1.29,2.53,22.18,,,,
3/3/2025 1:21:08 PM , 5.27700000000186 ,0.00,20.00,0.00,1.29,2.52,22.17,,,,
3/3/2025 1:21:09 PM , 5.62999999999738 ,0.00,20.00,0.00,1.29,2.50,22.15,,,,
3/3/2025 1:21:09 PM , 5.96800000000076 ,0.00,20.00,0.00,1.29,2.47,22.18,,,,
3/3/2025 1:21:10 PM , 6.35199999999895 ,0.00,20.00,0.00,1.29,2.48,22.19,,,,
3/3/2025 1:21:10 PM , 6.70500000000175 ,0.00,20.00,0.00,1.29,2.50,22.21,,,,
3/3/2025 1:21:10 PM , 7.05000000000291 ,0.00,20.00,0.00,1.29,2.48,22.17,,,,
