Time, ElapsedTime (s),"%, Acid","%, Base","Acid Flow, mL/s","Base Flow, mL/s","pH","T_Room",,,,
3/24/2025 3:08:14 PM , 20.1960000000036 ,0.00,20.00,0.00,1.29,9.52,22.70,,,,
3/24/2025 3:08:14 PM , 20.5410000000047 ,0.00,20.00,0.00,1.29,9.48,22.61,,,,
3/24/2025 3:08:14 PM , 20.8860000000059 ,0.00,20.00,0.00,1.29,9.50,22.58,,,,
3/24/2025 3:08:15 PM , 21.2250000000058 ,0.00,20.00,0.00,1.29,9.40,22.61,,,,
3/24/2025 3:08:15 PM , 21.5710000000036 ,0.00,20.00,0.00,1.29,9.41,22.58,,,,
3/24/2025 3:08:15 PM , 21.9390000000058 ,0.00,20.00,0.00,1.29,9.38,22.58,,,,
3/24/2025 3:08:16 PM , 22.2770000000019 ,0.00,20.00,0.00,1.29,9.48,22.60,,,,
3/24/2025 3:08:16 PM , 22.6190000000061 ,0.00,20.00,0.00,1.29,9.52,22.56,,,,
3/24/2025 3:08:16 PM , 22.9619999999995 ,0.00,20.00,0.00,1.29,9.56,22.60,,,,
3/24/2025 3:08:17 PM , 23.3110000000015 ,0.00,20.00,0.00,1.29,9.50,22.60,,,,
3/24/2025 3:08:17 PM , 23.6500000000015 ,0.00,20.00,0.00,1.29,9.66,22.57,,,,
3/24/2025 3:08:17 PM , 23.9900000000052 ,0.00,20.00,0.00,1.29,9.44,22.56,,,,
3/24/2025 3:08:18 PM , 24.3430000000008 ,0.00,20.00,0.00,1.29,9.48,22.58,,,,
3/24/2025 3:08:18 PM , 24.6920000000027 ,0.00,20.00,0.00,1.29,9.46,22.57,,,,
3/24/2025 3:08:18 PM , 25.0240000000049 ,0.00,20.00,0.00,1.29,9.46,22.56,,,,
3/24/2025 3:08:19 PM , 25.3740000000034 ,0.00,20.00,0.00,1.29,9.45,22.55,,,,
3/24/2025 3:08:19 PM , 25.7280000000028 ,0.00,20.00,0.00,1.29,9.56,22.57,,,,
3/24/2025 3:08:20 PM , 26.0760000000009 ,0.00,20.00,0.00,1.29,9.51,22.56,,,,
3/24/2025 3:08:20 PM , 26.4160000000047 ,0.00,20.00,0.00,1.29,9.69,22.54,,,,
3/24/2025 3:08:20 PM , 26.7560000000012 ,0.00,20.00,0.00,1.29,9.51,22.53,,,,
3/24/2025 3:08:21 PM , 27.099000000002 ,0.00,20.00,0.00,1.29,9.71,22.53,,,,
3/24/2025 3:08:21 PM , 27.4510000000009 ,0.00,20.00,0.00,1.29,9.67,22.51,,,,
3/24/2025 3:08:21 PM , 27.7900000000009 ,0.00,20.00,0.00,1.29,9.49,22.51,,,,
3/24/2025 3:08:22 PM , 28.1140000000014 ,0.00,20.00,0.00,1.29,9.70,22.53,,,,
3/24/2025 3:08:22 PM , 28.4619999999995 ,0.00,20.00,0.00,1.29,9.64,22.55,,,,
3/24/2025 3:08:22 PM , 28.8009999999995 ,0.00,20.00,0.00,1.29,9.70,22.49,,,,
3/24/2025 3:08:23 PM , 29.1500000000015 ,0.00,20.00,0.00,1.29,9.74,22.50,,,,
3/24/2025 3:08:23 PM , 29.4910000000018 ,0.00,20.00,0.00,1.29,9.55,22.51,,,,
3/24/2025 3:08:23 PM , 29.836000000003 ,0.00,20.00,0.00,1.29,9.67,22.46,,,,
3/24/2025 3:08:24 PM , 30.1800000000003 ,0.00,20.00,0.00,1.29,9.71,22.52,,,,
3/24/2025 3:08:24 PM , 30.523000000001 ,0.00,20.00,0.00,1.29,9.57,22.48,,,,
