Time, ElapsedTime (s),"%, Acid","%, Base","Acid Flow, mL/s","Base Flow, mL/s","pH","T_Room",,,,
4/7/2025 12:56:01 PM , 292.956000000006 ,50.00,0.00,3.59,0.00,11.26,21.70,,,,
4/7/2025 12:56:01 PM , 293.297000000006 ,50.00,0.00,3.59,0.00,11.28,21.75,,,,
4/7/2025 12:56:01 PM , 293.656999999999 ,50.00,0.00,3.59,0.00,11.25,21.71,,,,
4/7/2025 12:56:02 PM , 294.014000000003 ,50.00,0.00,3.59,0.00,11.29,21.75,,,,
4/7/2025 12:56:02 PM , 294.352000000006 ,50.00,0.00,3.59,0.00,11.31,21.71,,,,
4/7/2025 12:56:02 PM , 294.702000000005 ,50.00,0.00,3.59,0.00,11.31,21.70,,,,
4/7/2025 12:56:03 PM , 295.043000000005 ,50.00,0.00,3.59,0.00,11.24,21.73,,,,
4/7/2025 12:56:03 PM , 295.384000000005 ,50.00,0.00,3.59,0.00,11.31,21.71,,,,
4/7/2025 12:56:03 PM , 295.735000000001 ,50.00,0.00,3.59,0.00,11.29,21.71,,,,
4/7/2025 12:56:04 PM , 296.086000000003 ,50.00,0.00,3.59,0.00,11.30,21.69,,,,
4/7/2025 12:56:04 PM , 296.439000000006 ,50.00,0.00,3.59,0.00,11.26,21.70,,,,
4/7/2025 12:56:04 PM , 296.794000000002 ,50.00,0.00,3.59,0.00,11.25,21.74,,,,
4/7/2025 12:56:05 PM , 297.139999999999 ,50.00,0.00,3.59,0.00,11.25,21.70,,,,
4/7/2025 12:56:05 PM , 297.494000000006 ,50.00,0.00,3.59,0.00,11.24,21.72,,,,
4/7/2025 12:56:06 PM , 297.843000000001 ,50.00,0.00,3.59,0.00,11.24,21.72,,,,
4/7/2025 12:56:06 PM , 298.181000000004 ,50.00,0.00,3.59,0.00,11.29,21.73,,,,
4/7/2025 12:56:06 PM , 298.533000000003 ,50.00,0.00,3.59,0.00,11.31,21.73,,,,
4/7/2025 12:56:07 PM , 298.892 ,50.00,0.00,3.59,0.00,11.23,21.72,,,,
4/7/2025 12:56:07 PM , 299.245000000003 ,50.00,0.00,3.59,0.00,11.26,21.72,,,,
4/7/2025 12:56:07 PM , 299.596000000005 ,50.00,0.00,3.59,0.00,11.25,21.74,,,,
4/7/2025 12:56:08 PM , 299.946000000004 ,50.00,0.00,3.59,0.00,11.27,21.74,,,,
4/7/2025 12:56:08 PM , 300.297000000006 ,50.00,0.00,3.59,0.00,11.29,21.75,,,,
4/7/2025 12:56:08 PM , 300.658000000003 ,50.00,0.00,3.59,0.00,11.23,21.70,,,,
4/7/2025 12:56:09 PM , 300.999000000003 ,50.00,0.00,3.59,0.00,11.31,21.72,,,,
4/7/2025 12:56:09 PM , 301.353000000003 ,50.00,0.00,3.59,0.00,11.29,21.69,,,,
4/7/2025 12:56:09 PM , 301.704000000005 ,50.00,0.00,3.59,0.00,11.28,21.70,,,,
4/7/2025 12:56:10 PM , 302.063000000002 ,50.00,0.00,3.59,0.00,11.27,21.73,,,,
4/7/2025 12:56:10 PM , 302.413 ,50.00,0.00,3.59,0.00,11.27,21.74,,,,
4/7/2025 12:56:10 PM , 302.766000000003 ,50.00,0.00,3.59,0.00,11.30,21.73,,,,
4/7/2025 12:56:11 PM , 303.127 ,50.00,0.00,3.59,0.00,11.23,21.73,,,,
4/7/2025 12:56:11 PM , 303.478999999999 ,50.00,0.00,3.59,0.00,11.26,21.73,,,,
4/7/2025 12:56:11 PM , 303.817999999999 ,50.00,0.00,3.59,0.00,11.31,21.70,,,,
4/7/2025 12:56:12 PM , 304.174000000006 ,50.00,0.00,3.59,0.00,11.23,21.69,,,,
4/7/2025 12:56:12 PM , 304.527000000002 ,50.00,0.00,3.59,0.00,11.23,21.72,,,,
4/7/2025 12:56:13 PM , 304.866000000002 ,50.00,0.00,3.59,0.00,11.30,21.73,,,,
4/7/2025 12:56:13 PM , 305.220000000001 ,50.00,0.00,3.59,0.00,11.28,21.70,,,,
4/7/2025 12:56:13 PM , 305.579000000005 ,50.00,0.00,3.59,0.00,11.25,21.73,,,,
